model,seed,batch_size,steps,grad_accum_steps,effective_batch_size,train_time_s,total_time_s,final_loss,mean_gate,mean_grad_norm,mean_surprise,mean_surprise_var,mean_update_norm,closed_loop_success_pct,max_gate,max_surprise,mean_delta_p,mean_gate,mean_latency_ms,mean_p_norm,mean_surprise,std_surprise,t10_acc,t11_acc,t12_acc,t1_acc,t20_acc,t21_acc,t22_acc,t2_acc,t30_acc,var_surprise
plastic_thoughtlet,42,24,1000,1,24,246.8,248.7,0.2396,0.1029,0.1957,1.0740,0.4477,0.0372,0.000,0.096,12.500,0.110,0.096,4.997,0.361,6.659,3.028,100.000,0.000,0.000,100.000,0.000,100.000,100.000,100.000,100.000,9.170
plastic_thoughtlet,142,24,1000,1,24,242.9,244.7,0.2393,0.1030,0.1553,1.1127,0.8668,0.0287,100.000,0.111,11.324,0.138,0.095,4.827,1.043,5.064,1.885,100.000,0.000,100.000,0.000,100.000,0.000,100.000,100.000,100.000,3.553
plastic_thoughtlet,242,24,1000,1,24,243.0,244.8,0.2546,0.1097,0.2238,1.5214,0.4982,0.0508,100.000,0.101,12.324,0.132,0.098,4.891,0.446,5.268,1.826,100.000,0.000,100.000,100.000,100.000,0.000,100.000,100.000,100.000,3.335
plastic_thoughtlet,42,32,750,1,32,185.8,187.5,0.2368,0.1022,0.1826,0.8792,0.3218,0.0307,100.000,0.097,11.246,0.112,0.096,4.834,0.279,6.439,2.328,100.000,0.000,100.000,100.000,100.000,0.000,100.000,100.000,100.000,5.422
plastic_thoughtlet,142,32,750,1,32,187.1,188.9,0.2440,0.1117,0.1496,1.2745,1.1508,0.0346,100.000,0.151,10.006,0.147,0.097,4.830,0.915,4.740,1.532,100.000,0.000,100.000,100.000,100.000,0.000,100.000,100.000,100.000,2.346
plastic_thoughtlet,242,32,750,1,32,187.2,188.9,0.2396,0.0946,0.1269,0.8640,0.8204,0.0246,100.000,0.096,9.072,0.145,0.093,4.854,0.473,4.170,1.077,100.000,0.000,100.000,100.000,100.000,0.000,100.000,100.000,100.000,1.159
plastic_thoughtlet,42,48,500,1,48,128.5,130.2,0.2404,0.1006,0.2188,1.0194,0.3334,0.0368,100.000,0.099,12.964,0.114,0.099,4.845,0.275,5.977,1.670,100.000,0.000,100.000,100.000,100.000,0.000,100.000,100.000,100.000,2.788
plastic_thoughtlet,142,48,500,1,48,128.1,129.9,0.2408,0.1121,0.2325,1.8234,1.4758,0.0411,100.000,0.149,9.950,0.151,0.106,4.888,0.923,4.904,1.045,100.000,0.000,100.000,100.000,100.000,0.000,100.000,100.000,100.000,1.091
plastic_thoughtlet,242,48,500,1,48,128.5,130.2,0.2412,0.0969,0.2507,0.9496,0.3081,0.0322,100.000,0.098,6.954,0.155,0.096,4.908,0.548,3.847,0.959,100.000,0.000,100.000,0.000,100.000,0.000,100.000,100.000,100.000,0.920
plastic_thoughtlet,42,64,375,1,64,101.2,103.0,0.2399,0.1071,0.2039,0.9973,0.4032,0.0282,100.000,0.110,10.967,0.145,0.109,4.874,0.552,5.656,1.534,100.000,0.000,100.000,100.000,100.000,0.000,100.000,100.000,100.000,2.352
plastic_thoughtlet,142,64,375,1,64,100.7,102.5,0.2456,0.1045,0.2372,1.6464,1.4348,0.0390,0.000,0.140,8.795,0.141,0.093,4.865,0.622,4.590,1.399,100.000,0.000,100.000,100.000,100.000,0.000,0.000,100.000,0.000,1.957
plastic_thoughtlet,242,64,375,1,64,101.1,102.9,0.2396,0.1006,0.1917,0.9745,0.4352,0.0316,100.000,0.107,6.228,0.162,0.106,4.951,0.667,3.559,0.815,100.000,0.000,100.000,100.000,100.000,0.000,100.000,100.000,100.000,0.664
plastic_thoughtlet,42,96,250,1,96,73.8,75.5,0.2423,0.1226,0.2158,1.5190,0.6250,0.0351,100.000,0.114,9.800,0.150,0.114,4.894,0.551,4.833,1.291,100.000,0.000,100.000,100.000,100.000,0.000,100.000,100.000,100.000,1.667
plastic_thoughtlet,142,96,250,1,96,73.9,75.6,0.2595,0.0986,0.3903,2.3518,1.3125,0.0533,100.000,0.146,7.970,0.138,0.093,4.885,0.596,3.763,1.312,100.000,0.000,100.000,100.000,100.000,0.000,100.000,100.000,100.000,1.721
plastic_thoughtlet,242,96,250,1,96,73.5,75.3,0.2497,0.1228,0.3805,1.9650,0.7091,0.0607,100.000,0.113,8.598,0.186,0.112,4.932,0.878,4.168,1.126,100.000,0.000,100.000,100.000,100.000,0.000,100.000,100.000,100.000,1.269
